,ENSG00000200390.1,ENSG00000251906.2,ENSG00000123576.5,ENSG00000201435.1,ENSG00000251990.1,ENSG00000169035.11,ENSG00000207956.1,ENSG00000243075.3,ENSG00000223302.1,ENSG00000133639.4,ENSG00000278818.1,ENSG00000222257.1,ENSG00000202440.1,ENSG00000207197.1,ENSG00000181038.13,ENSG00000253038.1,ENSG00000238854.1,ENSG00000199880.1,ENSG00000186119.7,ENSG00000252223.1,ENSG00000180043.11,ENSG00000120696.8,ENSG00000239079.1,ENSG00000252879.1,ENSG00000109103.11,ENSG00000199702.1,ENSG00000238923.1,ENSG00000202521.1,ENSG00000112473.16,ENSG00000199260.1,ENSG00000222701.1,ENSG00000264530.2,ENSG00000238911.1,ENSG00000252751.1,ENSG00000278724.1,ENSG00000134339.8,ENSG00000251768.1,ENSG00000121381.3,ENSG00000251742.1,ENSG00000251792.1,ENSG00000206932.1,ENSG00000201339.1,ENSG00000211788.2,ENSG00000168894.9,ENSG00000174982.2,ENSG00000251982.1,ENSG00000278825.1,ENSG00000189132.6,ENSG00000278857.1,ENSG00000252081.1,ENSG00000239080.1,ENSG00000252355.1,ENSG00000239081.1,ENSG00000280488.1,ENSG00000221070.1,ENSG00000252166.1,ENSG00000164778.4,ENSG00000275154.1,ENSG00000114395.10,ENSG00000264134.1,ENSG00000201403.1,ENSG00000252642.1,ENSG00000276506.1,ENSG00000252874.2,ENSG00000180089.5,ENSG00000265535.2,ENSG00000207147.1,ENSG00000252483.1,ENSG00000206734.1,ENSG00000202560.3,ENSG00000212221.1,ENSG00000252515.2,ENSG00000206749.1,ENSG00000278696.1,ENSG00000275604.1,ENSG00000184887.13,ENSG00000212309.1,ENSG00000197887.3,ENSG00000185670.7,ENSG00000238320.1,ENSG00000204632.11,ENSG00000241391.3,ENSG00000235863.3,ENSG00000252243.1
ENSG00000206749.1,7.0,17.0,10.0,6.0,6.0,9.0,8.0,7.0,6.0,9.0,7.0,6.0,6.0,6.0,8.0,15.0,6.0,40.0,7.0,20.0,10.0,9.0,6.0,7.0,9.0,51.0,5.0,6.0,8.0,23.0,7.0,6.0,6.0,18.0,7.0,10.0,6.0,8.0,7.0,6.0,61.0,7.0,8.0,8.0,7.0,8.0,7.0,10.0,8.0,10.0,7.0,7.0,5.0,6.0,6.0,8.0,8.0,7.0,11.0,7.0,5.0,7.0,7.0,7.0,10.0,6.0,7.0,15.0,9.0,6.0,30.0,31.0,0.0,6.0,6.0,8.0,6.0,7.0,10.0,5.0,9.0,7.0,9.0,38.0
ENSG00000278696.1,7.0,6.0,9.0,6.0,7.0,9.0,6.0,16.0,8.0,10.0,15.0,9.0,6.0,7.0,10.0,7.0,7.0,6.0,8.0,7.0,10.0,12.0,6.0,10.0,10.0,7.0,7.0,9.0,10.0,6.0,7.0,10.0,8.0,6.0,8.0,12.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,9.0,9.0,10.0,12.0,10.0,8.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,10.0,7.0,11.0,7.0,8.0,7.0,6.0,9.0,10.0,18.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,0.0,6.0,10.0,6.0,9.0,10.0,7.0,11.0,19.0,11.0,6.0
ENSG00000275604.1,6.0,7.0,9.0,7.0,7.0,8.0,8.0,7.0,5.0,9.0,9.0,8.0,7.0,6.0,10.0,7.0,7.0,10.0,8.0,7.0,9.0,10.0,6.0,6.0,8.0,5.0,7.0,6.0,9.0,6.0,5.0,8.0,6.0,7.0,8.0,9.0,6.0,9.0,9.0,6.0,6.0,6.0,8.0,8.0,10.0,8.0,8.0,11.0,7.0,7.0,6.0,7.0,7.0,9.0,6.0,7.0,10.0,7.0,10.0,6.0,6.0,6.0,6.0,7.0,9.0,7.0,8.0,6.0,7.0,7.0,7.0,10.0,6.0,6.0,0.0,9.0,7.0,9.0,9.0,6.0,9.0,8.0,9.0,6.0
ENSG00000184887.13,10.0,9.0,12.0,10.0,9.0,13.0,7.0,11.0,10.0,12.0,13.0,9.0,7.0,7.0,11.0,9.0,8.0,10.0,11.0,10.0,13.0,11.0,8.0,8.0,12.0,8.0,8.0,9.0,11.0,10.0,8.0,9.0,8.0,12.0,12.0,12.0,7.0,10.0,9.0,8.0,10.0,10.0,12.0,11.0,10.0,9.0,9.0,10.0,14.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,12.0,13.0,12.0,9.0,7.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,9.0,0.0,7.0,11.0,12.0,9.0,14.0,11.0,14.0,10.0
ENSG00000212309.1,6.0,6.0,8.0,6.0,6.0,9.0,6.0,6.0,5.0,9.0,7.0,7.0,7.0,9.0,10.0,6.0,10.0,8.0,10.0,8.0,10.0,12.0,7.0,6.0,9.0,6.0,6.0,6.0,9.0,8.0,5.0,7.0,5.0,7.0,7.0,10.0,6.0,9.0,6.0,7.0,8.0,6.0,7.0,8.0,9.0,8.0,7.0,10.0,7.0,6.0,5.0,10.0,6.0,7.0,6.0,6.0,8.0,7.0,10.0,5.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,0.0,8.0,10.0,7.0,10.0,6.0,10.0,6.0
ENSG00000197887.3,9.0,9.0,11.0,8.0,8.0,11.0,8.0,8.0,8.0,12.0,11.0,8.0,10.0,9.0,10.0,11.0,8.0,10.0,20.0,8.0,10.0,11.0,10.0,9.0,11.0,8.0,8.0,8.0,12.0,7.0,11.0,8.0,7.0,7.0,9.0,12.0,8.0,11.0,10.0,11.0,8.0,8.0,10.0,13.0,15.0,9.0,9.0,10.0,11.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,11.0,9.0,12.0,8.0,8.0,9.0,8.0,8.0,11.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,11.0,8.0,0.0,14.0,8.0,13.0,8.0,12.0,10.0
ENSG00000185670.7,10.0,8.0,82.0,11.0,9.0,83.0,9.0,27.0,9.0,14.0,45.0,13.0,9.0,8.0,161.0,9.0,10.0,9.0,12.0,9.0,116.0,19.0,9.0,10.0,13.0,8.0,11.0,10.0,12.0,10.0,13.0,61.0,9.0,10.0,46.0,76.0,9.0,12.0,9.0,11.0,8.0,9.0,11.0,12.0,11.0,11.0,20.0,12.0,11.0,10.0,11.0,11.0,10.0,12.0,9.0,9.0,12.0,10.0,126.0,10.0,8.0,11.0,10.0,10.0,14.0,16.0,23.0,10.0,11.0,11.0,8.0,9.0,10.0,10.0,9.0,12.0,10.0,14.0,0.0,14.0,12.0,41.0,145.0,10.0
ENSG00000238320.1,8.0,6.0,11.0,6.0,8.0,10.0,5.0,6.0,6.0,12.0,7.0,9.0,6.0,6.0,9.0,6.0,8.0,5.0,8.0,7.0,11.0,12.0,7.0,9.0,10.0,5.0,5.0,8.0,9.0,5.0,5.0,7.0,6.0,6.0,7.0,11.0,8.0,8.0,8.0,7.0,5.0,8.0,7.0,9.0,8.0,6.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,14.0,6.0,6.0,9.0,6.0,11.0,18.0,5.0,7.0,5.0,6.0,12.0,10.0,7.0,6.0,9.0,6.0,7.0,5.0,5.0,7.0,6.0,9.0,7.0,8.0,14.0,0.0,11.0,7.0,11.0,7.0
ENSG00000204632.11,10.0,12.0,12.0,11.0,11.0,13.0,8.0,11.0,12.0,13.0,11.0,11.0,9.0,8.0,13.0,8.0,8.0,12.0,11.0,9.0,13.0,12.0,10.0,9.0,13.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,10.0,11.0,15.0,9.0,11.0,10.0,9.0,10.0,8.0,11.0,12.0,10.0,9.0,11.0,15.0,12.0,10.0,8.0,11.0,8.0,12.0,8.0,10.0,14.0,10.0,13.0,10.0,9.0,11.0,9.0,9.0,12.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,14.0,10.0,13.0,12.0,11.0,0.0,10.0,12.0,10.0
ENSG00000241391.3,9.0,6.0,11.0,8.0,7.0,10.0,7.0,35.0,6.0,10.0,14.0,8.0,7.0,7.0,41.0,7.0,7.0,7.0,9.0,8.0,29.0,11.0,7.0,8.0,10.0,7.0,5.0,7.0,10.0,9.0,8.0,20.0,7.0,7.0,36.0,30.0,6.0,8.0,9.0,8.0,7.0,6.0,8.0,10.0,8.0,9.0,19.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,10.0,6.0,24.0,6.0,7.0,7.0,7.0,7.0,12.0,20.0,8.0,8.0,9.0,6.0,7.0,8.0,7.0,19.0,8.0,11.0,6.0,8.0,41.0,7.0,10.0,0.0,33.0,8.0
ENSG00000235863.3,10.0,10.0,45.0,9.0,9.0,65.0,9.0,28.0,10.0,15.0,31.0,12.0,10.0,9.0,114.0,11.0,10.0,9.0,12.0,11.0,75.0,17.0,9.0,10.0,13.0,9.0,9.0,10.0,13.0,11.0,10.0,54.0,8.0,9.0,35.0,69.0,9.0,11.0,12.0,8.0,9.0,9.0,12.0,12.0,11.0,9.0,24.0,12.0,10.0,9.0,9.0,10.0,9.0,12.0,9.0,10.0,15.0,9.0,91.0,11.0,9.0,10.0,9.0,9.0,12.0,16.0,23.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,9.0,14.0,10.0,12.0,145.0,11.0,12.0,33.0,0.0,9.0
ENSG00000252243.1,7.0,18.0,9.0,7.0,6.0,13.0,8.0,7.0,7.0,9.0,9.0,7.0,6.0,6.0,8.0,11.0,5.0,24.0,8.0,11.0,12.0,10.0,5.0,6.0,9.0,18.0,6.0,6.0,9.0,14.0,6.0,7.0,6.0,13.0,8.0,9.0,6.0,9.0,8.0,6.0,36.0,7.0,11.0,8.0,9.0,7.0,7.0,12.0,7.0,6.0,8.0,7.0,6.0,7.0,6.0,8.0,9.0,6.0,10.0,7.0,6.0,7.0,7.0,6.0,10.0,8.0,5.0,15.0,6.0,6.0,20.0,16.0,38.0,6.0,6.0,10.0,6.0,10.0,10.0,7.0,10.0,8.0,9.0,0.0
